=======================================================
  Lexical Analyzer  --  CSE411, Alamein University
=======================================================

[Line   4] COMMENT(ML) : (multi-line comment)
[Line   6] DIRECTIVE   : #include <stdio.h>
[Line   7] DIRECTIVE   : #include <stdlib.h>
[Line   9] DIRECTIVE   : #define MAX_SIZE 100
[Line  11] COMMENT(SL) : // Compute the factorial of n recursively
[Line  12] KEYWORD     : int
[Line  12] IDENTIFIER  : factorial
[Line  12] DELIMITER   : (
[Line  12] KEYWORD     : int
[Line  12] IDENTIFIER  : n
[Line  12] DELIMITER   : )
[Line  12] DELIMITER   : {
[Line  13] KEYWORD     : if
[Line  13] DELIMITER   : (
[Line  13] IDENTIFIER  : n
[Line  13] OPERATOR    : <=
[Line  13] INTEGER     : 1
[Line  13] DELIMITER   : )
[Line  14] KEYWORD     : return
[Line  14] INTEGER     : 1
[Line  14] DELIMITER   : ;
[Line  15] KEYWORD     : return
[Line  15] IDENTIFIER  : n
[Line  15] OPERATOR    : *
[Line  15] IDENTIFIER  : factorial
[Line  15] DELIMITER   : (
[Line  15] IDENTIFIER  : n
[Line  15] OPERATOR    : -
[Line  15] INTEGER     : 1
[Line  15] DELIMITER   : )
[Line  15] DELIMITER   : ;
[Line  16] DELIMITER   : }
[Line  18] COMMENT(SL) : // Check if a number is prime
[Line  19] KEYWORD     : bool
[Line  19] IDENTIFIER  : isPrime
[Line  19] DELIMITER   : (
[Line  19] KEYWORD     : int
[Line  19] IDENTIFIER  : num
[Line  19] DELIMITER   : )
[Line  19] DELIMITER   : {
[Line  20] KEYWORD     : if
[Line  20] DELIMITER   : (
[Line  20] IDENTIFIER  : num
[Line  20] OPERATOR    : <
[Line  20] INTEGER     : 2
[Line  20] DELIMITER   : )
[Line  20] KEYWORD     : return
[Line  20] KEYWORD     : false
[Line  20] DELIMITER   : ;
[Line  21] KEYWORD     : for
[Line  21] DELIMITER   : (
[Line  21] KEYWORD     : int
[Line  21] IDENTIFIER  : i
[Line  21] OPERATOR    : =
[Line  21] INTEGER     : 2
[Line  21] DELIMITER   : ;
[Line  21] IDENTIFIER  : i
[Line  21] OPERATOR    : *
[Line  21] IDENTIFIER  : i
[Line  21] OPERATOR    : <=
[Line  21] IDENTIFIER  : num
[Line  21] DELIMITER   : ;
[Line  21] IDENTIFIER  : i
[Line  21] OPERATOR    : ++
[Line  21] DELIMITER   : )
[Line  21] DELIMITER   : {
[Line  22] KEYWORD     : if
[Line  22] DELIMITER   : (
[Line  22] IDENTIFIER  : num
[Line  22] OPERATOR    : %
[Line  22] IDENTIFIER  : i
[Line  22] OPERATOR    : ==
[Line  22] INTEGER     : 0
[Line  22] DELIMITER   : )
[Line  23] KEYWORD     : return
[Line  23] KEYWORD     : false
[Line  23] DELIMITER   : ;
[Line  24] DELIMITER   : }
[Line  25] KEYWORD     : return
[Line  25] KEYWORD     : true
[Line  25] DELIMITER   : ;
[Line  26] DELIMITER   : }
[Line  28] KEYWORD     : int
[Line  28] IDENTIFIER  : main
[Line  28] DELIMITER   : (
[Line  28] DELIMITER   : )
[Line  28] DELIMITER   : {
[Line  29] KEYWORD     : int
[Line  29] IDENTIFIER  : x
[Line  29] OPERATOR    : =
